Attraction_Name,Nearby_Place,Distance_KM,Category,Rating
Local Market Corner near Scenic Beach of Manali,Scenic Beach of Manali,2.9,Local Market,4.2
Cafe Chaat Bhandar near Manali Sovereign Memorial,Manali Sovereign Memorial,2.0,Food & Dining,4.8
Souvenir Flea Market near Manali Sovereign Memorial,Manali Sovereign Memorial,0.6,Shopping,3.7
Heritage Walk near Manali Sovereign Memorial,Manali Sovereign Memorial,4.6,Activity,3.6
Bistro Bakery near Holy Manali Ashram,Holy Manali Ashram,0.5,Food & Dining,4.7
Local Bazaar near Holy Manali Ashram,Holy Manali Ashram,2.5,Shopping,4.8
Walkway Park near Holy Manali Ashram,Holy Manali Ashram,2.1,Activity,4.9
Street Spot near Summit Zip-line Valley of Manali,Summit Zip-line Valley of Manali,0.2,Food & Dining,3.7
Handicrafts Market near Summit Zip-line Valley of Manali,Summit Zip-line Valley of Manali,1.9,Shopping,4.3
Transit Corner near Summit Zip-line Valley of Manali,Summit Zip-line Valley of Manali,0.8,Transit,4.9
Desi Dhaba near Manali Folk Amphitheatre,Manali Folk Amphitheatre,1.4,Food & Dining,3.9
Ethnic Arcade near Manali Folk Amphitheatre,Manali Folk Amphitheatre,3.3,Shopping,4.8
Transit Corner near Manali Folk Amphitheatre,Manali Folk Amphitheatre,2.4,Transit,3.7
Cafe Treats near Traditional Manali Cooperative Store,Traditional Manali Cooperative Store,1.3,Food & Dining,4.5
Bustling Flea Market near Traditional Manali Cooperative Store,Traditional Manali Cooperative Store,3.4,Shopping,4.1
Adventure Cliff near Traditional Manali Cooperative Store,Traditional Manali Cooperative Store,0.5,Viewpoint,3.6
Bistro Point near Authentic Historic Cafe of Manali,Authentic Historic Cafe of Manali,2.0,Food & Dining,4.7
Central Cooperative near Authentic Historic Cafe of Manali,Authentic Historic Cafe of Manali,0.8,Shopping,4.2
Cable Car Station near Authentic Historic Cafe of Manali,Authentic Historic Cafe of Manali,2.9,Activity,4.9
The Spicy Diner near Manali Tech Art Gallery,Manali Tech Art Gallery,2.0,Food & Dining,3.8
Bustling Flea Market near Manali Tech Art Gallery,Manali Tech Art Gallery,3.5,Shopping,4.0
Transit Corner near Manali Tech Art Gallery,Manali Tech Art Gallery,2.4,Transit,3.7
Street Corner near Cloudy Manali Wildlife Reserve,Cloudy Manali Wildlife Reserve,2.4,Food & Dining,4.1
Bustling Market near Cloudy Manali Wildlife Reserve,Cloudy Manali Wildlife Reserve,1.5,Shopping,4.0
Transit Corner near Cloudy Manali Wildlife Reserve,Cloudy Manali Wildlife Reserve,0.7,Transit,3.9
Bistro Bakery near Grand Castle of Manali,Grand Castle of Manali,0.5,Food & Dining,4.4
Traditional Hub near Grand Castle of Manali,Grand Castle of Manali,0.3,Shopping,4.1
Boating Lake near Grand Castle of Manali,Grand Castle of Manali,4.9,Viewpoint,3.7
The Spicy Treats near Manali Holy Ashram,Manali Holy Ashram,0.3,Food & Dining,4.0
Bustling Bazaar near Manali Holy Ashram,Manali Holy Ashram,2.2,Shopping,4.0
Cable Car Station near Manali Holy Ashram,Manali Holy Ashram,1.3,Viewpoint,4.7
Street Point near Summit Manali Rafting Camp,Summit Manali Rafting Camp,2.1,Food & Dining,4.8
Local Corner near Summit Manali Rafting Camp,Summit Manali Rafting Camp,0.7,Shopping,4.1
Transit Corner near Summit Manali Rafting Camp,Summit Manali Rafting Camp,3.7,Transit,4.7
Gourmet Spot near Artistic Cultural Theatre of Manali,Artistic Cultural Theatre of Manali,0.1,Food & Dining,3.9
Traditional Market near Artistic Cultural Theatre of Manali,Artistic Cultural Theatre of Manali,0.6,Shopping,4.0
Photography Spot near Artistic Cultural Theatre of Manali,Artistic Cultural Theatre of Manali,2.7,Viewpoint,4.2
Annapurna Cafe near Manali Bustling Emporium,Manali Bustling Emporium,0.1,Food & Dining,3.9
Bustling Hub near Manali Bustling Emporium,Manali Bustling Emporium,0.5,Shopping,4.4
Local Market Corner near Manali Bustling Emporium,Manali Bustling Emporium,2.7,Local Market,4.8
Desi Treats near Culinary Manali Dhaba Zone,Culinary Manali Dhaba Zone,1.9,Food & Dining,4.8
Bustling Market near Culinary Manali Dhaba Zone,Culinary Manali Dhaba Zone,3.4,Shopping,3.7
Local Market Corner near Culinary Manali Dhaba Zone,Culinary Manali Dhaba Zone,3.0,Local Market,3.9
Desi Corner near Infinity Aquarium of Manali,Infinity Aquarium of Manali,0.3,Food & Dining,4.2
Central Cooperative near Infinity Aquarium of Manali,Infinity Aquarium of Manali,1.9,Shopping,4.7
Local Market Corner near Infinity Aquarium of Manali,Infinity Aquarium of Manali,1.0,Local Market,4.0
The Spicy Treats near Manali Hidden Lake,Manali Hidden Lake,1.8,Food & Dining,4.0
Handicrafts Market near Manali Hidden Lake,Manali Hidden Lake,2.6,Shopping,4.2
Cable Car Station near Manali Hidden Lake,Manali Hidden Lake,2.5,Viewpoint,4.1
Cafe Point near Victorian Manali Tomb,Victorian Manali Tomb,1.6,Food & Dining,4.6
Central Hub near Victorian Manali Tomb,Victorian Manali Tomb,1.6,Shopping,4.3
Transit Corner near Victorian Manali Tomb,Victorian Manali Tomb,1.4,Transit,4.7
Bistro Spot near Holy Ashram of Manali,Holy Ashram of Manali,2.5,Food & Dining,3.7
Artisans Hub near Holy Ashram of Manali,Holy Ashram of Manali,1.7,Shopping,3.5
Local Market Corner near Holy Ashram of Manali,Holy Ashram of Manali,4.6,Local Market,4.7
Cafe Treats near Manali Summit Camping Ridge,Manali Summit Camping Ridge,1.3,Food & Dining,4.4
Souvenir Flea Market near Manali Summit Camping Ridge,Manali Summit Camping Ridge,1.1,Shopping,4.8
Transit Corner near Manali Summit Camping Ridge,Manali Summit Camping Ridge,0.6,Transit,4.6
Bistro Treats near Indigenous Manali Traditional Bazaar,Indigenous Manali Traditional Bazaar,1.9,Food & Dining,4.2
Artisans Corner near Indigenous Manali Traditional Bazaar,Indigenous Manali Traditional Bazaar,1.8,Shopping,4.4
Local Market Corner near Indigenous Manali Traditional Bazaar,Indigenous Manali Traditional Bazaar,2.7,Local Market,3.5
Cafe Chaat Bhandar near Emerald Hills of Dharamshala,Emerald Hills of Dharamshala,0.7,Food & Dining,4.9
Central Market near Emerald Hills of Dharamshala,Emerald Hills of Dharamshala,2.5,Shopping,4.0
Transit Corner near Emerald Hills of Dharamshala,Emerald Hills of Dharamshala,4.5,Transit,3.6
Royal Corner near Dharamshala Imperial Gateway,Dharamshala Imperial Gateway,1.8,Food & Dining,4.2
Souvenir Arcade near Dharamshala Imperial Gateway,Dharamshala Imperial Gateway,0.6,Shopping,4.8
Local Market Corner near Dharamshala Imperial Gateway,Dharamshala Imperial Gateway,4.3,Local Market,3.5
Desi Dhaba near Eternal Dharamshala Mosque,Eternal Dharamshala Mosque,0.3,Food & Dining,3.9
Handicrafts Cooperative near Eternal Dharamshala Mosque,Eternal Dharamshala Mosque,2.0,Shopping,3.6
Transit Corner near Eternal Dharamshala Mosque,Eternal Dharamshala Mosque,3.2,Transit,4.8
Cafe Dhaba near Wild Paragliding Launch of Dharamshala,Wild Paragliding Launch of Dharamshala,2.4,Food & Dining,4.4
Central Emporium near Wild Paragliding Launch of Dharamshala,Wild Paragliding Launch of Dharamshala,1.6,Shopping,4.8
Transit Corner near Wild Paragliding Launch of Dharamshala,Wild Paragliding Launch of Dharamshala,1.8,Transit,4.0
Chai Villa Point near Dharamshala Indigenous Folk Centre,Dharamshala Indigenous Folk Centre,0.5,Food & Dining,3.8
Artisans Bazaar near Dharamshala Indigenous Folk Centre,Dharamshala Indigenous Folk Centre,3.4,Shopping,4.1
Local Market Corner near Dharamshala Indigenous Folk Centre,Dharamshala Indigenous Folk Centre,4.4,Local Market,4.9
Royal Spot near Vibrant Dharamshala Flea Market,Vibrant Dharamshala Flea Market,2.2,Food & Dining,4.0
Central Hub near Vibrant Dharamshala Flea Market,Vibrant Dharamshala Flea Market,2.9,Shopping,4.3
Local Market Corner near Vibrant Dharamshala Flea Market,Vibrant Dharamshala Flea Market,3.6,Local Market,4.3
Laziz Treats near Delight Food Street of Dharamshala,Delight Food Street of Dharamshala,0.6,Food & Dining,3.5
Ethnic Bazaar near Delight Food Street of Dharamshala,Delight Food Street of Dharamshala,2.7,Shopping,4.0
Hiking Point near Delight Food Street of Dharamshala,Delight Food Street of Dharamshala,2.2,Activity,4.9
The Spicy Kitchen near Dharamshala Metro Botanical Conservatory,Dharamshala Metro Botanical Conservatory,1.4,Food & Dining,4.2
Traditional Emporium near Dharamshala Metro Botanical Conservatory,Dharamshala Metro Botanical Conservatory,1.1,Shopping,3.5
Transit Corner near Dharamshala Metro Botanical Conservatory,Dharamshala Metro Botanical Conservatory,3.5,Transit,4.8
Cafe Kitchen near Silent Dharamshala Valley,Silent Dharamshala Valley,2.5,Food & Dining,3.5
Traditional Hub near Silent Dharamshala Valley,Silent Dharamshala Valley,3.4,Shopping,3.8
Transit Corner near Silent Dharamshala Valley,Silent Dharamshala Valley,3.2,Transit,4.8
Desi Treats near Royal Ruin of Dharamshala,Royal Ruin of Dharamshala,0.3,Food & Dining,4.3
Ethnic Cooperative near Royal Ruin of Dharamshala,Royal Ruin of Dharamshala,1.2,Shopping,4.6
Walkway Park near Royal Ruin of Dharamshala,Royal Ruin of Dharamshala,3.8,Activity,4.1
Chai Villa Kitchen near Dharamshala Eternal Mosque,Dharamshala Eternal Mosque,0.3,Food & Dining,4.9
Artisans Bazaar near Dharamshala Eternal Mosque,Dharamshala Eternal Mosque,0.4,Shopping,3.7
Adventure Cliff near Dharamshala Eternal Mosque,Dharamshala Eternal Mosque,2.3,Viewpoint,5.0
Cafe Chaat Bhandar near Wild Dharamshala Climbing Wall,Wild Dharamshala Climbing Wall,1.3,Food & Dining,4.3
Local Cooperative near Wild Dharamshala Climbing Wall,Wild Dharamshala Climbing Wall,1.4,Shopping,3.9
Local Market Corner near Wild Dharamshala Climbing Wall,Wild Dharamshala Climbing Wall,4.4,Local Market,4.6
The Spicy Cafe near Ethnic Art Village of Dharamshala,Ethnic Art Village of Dharamshala,2.0,Food & Dining,4.9
Ethnic Corner near Ethnic Art Village of Dharamshala,Ethnic Art Village of Dharamshala,1.9,Shopping,4.5
Transit Corner near Ethnic Art Village of Dharamshala,Ethnic Art Village of Dharamshala,2.0,Transit,4.6
Gourmet Chaat Bhandar near Dharamshala Central Market,Dharamshala Central Market,0.3,Food & Dining,4.1
Local Market near Dharamshala Central Market,Dharamshala Central Market,2.5,Shopping,4.6
Photography Spot near Dharamshala Central Market,Dharamshala Central Market,2.8,Viewpoint,4.6
Street Spot near Legacy Dharamshala Spice Lane,Legacy Dharamshala Spice Lane,2.5,Food & Dining,3.7
Local Hub near Legacy Dharamshala Spice Lane,Legacy Dharamshala Spice Lane,1.6,Shopping,3.5
Local Market Corner near Legacy Dharamshala Spice Lane,Legacy Dharamshala Spice Lane,1.5,Local Market,4.9
The Spicy Bakery near Stellar Science Arena of Dharamshala,Stellar Science Arena of Dharamshala,1.0,Food & Dining,3.9
Ethnic Flea Market near Stellar Science Arena of Dharamshala,Stellar Science Arena of Dharamshala,3.2,Shopping,3.6
Hiking Point near Stellar Science Arena of Dharamshala,Stellar Science Arena of Dharamshala,2.6,Activity,4.1
Gourmet Point near Dharamshala Mist-Clad River Confluence,Dharamshala Mist-Clad River Confluence,0.9,Food & Dining,4.5
Bustling Market near Dharamshala Mist-Clad River Confluence,Dharamshala Mist-Clad River Confluence,1.1,Shopping,4.1
Boating Lake near Dharamshala Mist-Clad River Confluence,Dharamshala Mist-Clad River Confluence,3.0,Viewpoint,4.6
The Spicy Treats near Historic Dharamshala Ancient Caves,Historic Dharamshala Ancient Caves,0.9,Food & Dining,4.4
Traditional Flea Market near Historic Dharamshala Ancient Caves,Historic Dharamshala Ancient Caves,3.3,Shopping,3.8
Walkway Park near Historic Dharamshala Ancient Caves,Historic Dharamshala Ancient Caves,0.8,Viewpoint,4.8
Bistro Chaat Bhandar near Eternal Mosque of Dharamshala,Eternal Mosque of Dharamshala,1.8,Food & Dining,4.8
Handicrafts Cooperative near Eternal Mosque of Dharamshala,Eternal Mosque of Dharamshala,2.1,Shopping,3.9
Transit Corner near Eternal Mosque of Dharamshala,Eternal Mosque of Dharamshala,3.9,Transit,4.9
Laziz Corner near Dharamshala Wild Safari Zone,Dharamshala Wild Safari Zone,0.1,Food & Dining,3.7
Traditional Corner near Dharamshala Wild Safari Zone,Dharamshala Wild Safari Zone,0.4,Shopping,4.6
Adventure Cliff near Dharamshala Wild Safari Zone,Dharamshala Wild Safari Zone,0.4,Activity,4.0
Royal Chaat Bhandar near Classical Dharamshala Heritage Craft Complex,Classical Dharamshala Heritage Craft Complex,2.2,Food & Dining,4.7
Traditional Arcade near Classical Dharamshala Heritage Craft Complex,Classical Dharamshala Heritage Craft Complex,3.1,Shopping,3.8
Cable Car Station near Classical Dharamshala Heritage Craft Complex,Classical Dharamshala Heritage Craft Complex,4.8,Viewpoint,4.5
The Spicy Spot near Craft Shopping Arcade of Dharamshala,Craft Shopping Arcade of Dharamshala,0.3,Food & Dining,3.6
Traditional Emporium near Craft Shopping Arcade of Dharamshala,Craft Shopping Arcade of Dharamshala,3.1,Shopping,4.2
Transit Corner near Craft Shopping Arcade of Dharamshala,Craft Shopping Arcade of Dharamshala,1.6,Transit,4.1
Gourmet Dhaba near Dharamshala Flavors Gourmet Court,Dharamshala Flavors Gourmet Court,2.0,Food & Dining,4.7
Handicrafts Corner near Dharamshala Flavors Gourmet Court,Dharamshala Flavors Gourmet Court,3.3,Shopping,4.4
Photography Spot near Dharamshala Flavors Gourmet Court,Dharamshala Flavors Gourmet Court,0.4,Viewpoint,4.6
The Spicy Bakery near Futuristic Dharamshala Sky Deck,Futuristic Dharamshala Sky Deck,2.4,Food & Dining,4.7
Artisans Corner near Futuristic Dharamshala Sky Deck,Futuristic Dharamshala Sky Deck,3.5,Shopping,4.6
Transit Corner near Futuristic Dharamshala Sky Deck,Futuristic Dharamshala Sky Deck,1.0,Transit,4.6
The Spicy Diner near Serene Hills of Dharamshala,Serene Hills of Dharamshala,0.4,Food & Dining,3.8
Souvenir Corner near Serene Hills of Dharamshala,Serene Hills of Dharamshala,2.0,Shopping,4.0
Photography Spot near Serene Hills of Dharamshala,Serene Hills of Dharamshala,2.2,Viewpoint,3.5
Desi Kitchen near Dharamshala Sovereign Fort,Dharamshala Sovereign Fort,1.0,Food & Dining,4.8
Traditional Hub near Dharamshala Sovereign Fort,Dharamshala Sovereign Fort,1.3,Shopping,4.6
Photography Spot near Dharamshala Sovereign Fort,Dharamshala Sovereign Fort,1.9,Viewpoint,4.7
Street Dhaba near Eternal Dharamshala Mosque,Eternal Dharamshala Mosque,2.1,Food & Dining,4.0
Local Corner near Eternal Dharamshala Mosque,Eternal Dharamshala Mosque,1.1,Shopping,4.7
Hiking Point near Eternal Dharamshala Mosque,Eternal Dharamshala Mosque,3.6,Viewpoint,4.8
The Spicy Diner near Wild Trekking Trail of Dharamshala,Wild Trekking Trail of Dharamshala,1.1,Food & Dining,4.5
Artisans Emporium near Wild Trekking Trail of Dharamshala,Wild Trekking Trail of Dharamshala,2.2,Shopping,3.8
Local Market Corner near Wild Trekking Trail of Dharamshala,Wild Trekking Trail of Dharamshala,3.6,Local Market,4.8
Bistro Diner near Dharamshala Legacy Folk Centre,Dharamshala Legacy Folk Centre,0.6,Food & Dining,3.6
Ethnic Bazaar near Dharamshala Legacy Folk Centre,Dharamshala Legacy Folk Centre,3.2,Shopping,3.5
Transit Corner near Dharamshala Legacy Folk Centre,Dharamshala Legacy Folk Centre,1.5,Transit,4.5
Desi Treats near Royal Dharamshala Bazaar,Royal Dharamshala Bazaar,0.4,Food & Dining,3.7
Handicrafts Cooperative near Royal Dharamshala Bazaar,Royal Dharamshala Bazaar,3.3,Shopping,4.7
Transit Corner near Royal Dharamshala Bazaar,Royal Dharamshala Bazaar,0.5,Transit,4.5
Street Cafe near Traditional Chaat Corner of Dharamshala,Traditional Chaat Corner of Dharamshala,2.1,Food & Dining,4.0
Ethnic Arcade near Traditional Chaat Corner of Dharamshala,Traditional Chaat Corner of Dharamshala,1.4,Shopping,4.7
Transit Corner near Traditional Chaat Corner of Dharamshala,Traditional Chaat Corner of Dharamshala,0.9,Transit,4.5
Desi Spot near Dharamshala Cosmo Planetarium,Dharamshala Cosmo Planetarium,1.3,Food & Dining,3.9
Artisans Market near Dharamshala Cosmo Planetarium,Dharamshala Cosmo Planetarium,2.6,Shopping,4.6
Transit Corner near Dharamshala Cosmo Planetarium,Dharamshala Cosmo Planetarium,2.6,Transit,4.1
Laziz Corner near Silver Dharamshala Valley,Silver Dharamshala Valley,0.9,Food & Dining,4.3
Handicrafts Arcade near Silver Dharamshala Valley,Silver Dharamshala Valley,2.2,Shopping,4.5
Heritage Walk near Silver Dharamshala Valley,Silver Dharamshala Valley,2.0,Activity,4.8
Royal Chaat Bhandar near Grand Museum of Dharamshala,Grand Museum of Dharamshala,2.1,Food & Dining,4.7
Local Arcade near Grand Museum of Dharamshala,Grand Museum of Dharamshala,2.6,Shopping,3.6
Heritage Walk near Grand Museum of Dharamshala,Grand Museum of Dharamshala,4.2,Activity,3.5
Street Dhaba near Dharamshala Eternal Mosque,Dharamshala Eternal Mosque,0.7,Food & Dining,3.5
Local Corner near Dharamshala Eternal Mosque,Dharamshala Eternal Mosque,1.6,Shopping,4.7
Transit Corner near Dharamshala Eternal Mosque,Dharamshala Eternal Mosque,3.4,Transit,4.6
Gourmet Bakery near Wild Dharamshala Zip-line Valley,Wild Dharamshala Zip-line Valley,2.3,Food & Dining,4.1
Handicrafts Cooperative near Wild Dharamshala Zip-line Valley,Wild Dharamshala Zip-line Valley,3.3,Shopping,3.6
Boating Lake near Wild Dharamshala Zip-line Valley,Wild Dharamshala Zip-line Valley,0.3,Activity,4.5
Desi Corner near Creative Art Village of Dharamshala,Creative Art Village of Dharamshala,1.9,Food & Dining,4.2
Local Corner near Creative Art Village of Dharamshala,Creative Art Village of Dharamshala,2.7,Shopping,4.2
Local Market Corner near Creative Art Village of Dharamshala,Creative Art Village of Dharamshala,0.8,Local Market,4.8
Street Dhaba near Dharamshala Local Cooperative Store,Dharamshala Local Cooperative Store,2.4,Food & Dining,3.9
Souvenir Market near Dharamshala Local Cooperative Store,Dharamshala Local Cooperative Store,1.6,Shopping,4.6
Hiking Point near Dharamshala Local Cooperative Store,Dharamshala Local Cooperative Store,1.4,Activity,4.4
Cafe Cafe near Savory Dharamshala Historic Cafe,Savory Dharamshala Historic Cafe,2.4,Food & Dining,3.6
Central Flea Market near Savory Dharamshala Historic Cafe,Savory Dharamshala Historic Cafe,3.4,Shopping,4.3
Local Market Corner near Savory Dharamshala Historic Cafe,Savory Dharamshala Historic Cafe,4.2,Local Market,5.0
Annapurna Cafe near Apex Art Gallery of Dharamshala,Apex Art Gallery of Dharamshala,0.8,Food & Dining,4.0
Artisans Flea Market near Apex Art Gallery of Dharamshala,Apex Art Gallery of Dharamshala,1.5,Shopping,4.2
Local Market Corner near Apex Art Gallery of Dharamshala,Apex Art Gallery of Dharamshala,1.3,Local Market,4.4
Royal Bakery near Dharamshala Emerald River Confluence,Dharamshala Emerald River Confluence,1.1,Food & Dining,3.8
Central Corner near Dharamshala Emerald River Confluence,Dharamshala Emerald River Confluence,3.4,Shopping,3.6
Heritage Walk near Dharamshala Emerald River Confluence,Dharamshala Emerald River Confluence,0.9,Activity,4.1
The Spicy Chaat Bhandar near Victorian Dharamshala Gateway,Victorian Dharamshala Gateway,0.9,Food & Dining,3.6
Souvenir Flea Market near Victorian Dharamshala Gateway,Victorian Dharamshala Gateway,2.5,Shopping,4.6
Heritage Walk near Victorian Dharamshala Gateway,Victorian Dharamshala Gateway,1.7,Activity,4.6
Bistro Corner near Eternal Mosque of Dharamshala,Eternal Mosque of Dharamshala,1.1,Food & Dining,3.6
Local Cooperative near Eternal Mosque of Dharamshala,Eternal Mosque of Dharamshala,3.0,Shopping,4.2
Transit Corner near Eternal Mosque of Dharamshala,Eternal Mosque of Dharamshala,0.9,Transit,4.1
Annapurna Corner near Dharamshala Wild Rafting Camp,Dharamshala Wild Rafting Camp,0.7,Food & Dining,3.6
Local Emporium near Dharamshala Wild Rafting Camp,Dharamshala Wild Rafting Camp,1.1,Shopping,4.5
Cable Car Station near Dharamshala Wild Rafting Camp,Dharamshala Wild Rafting Camp,2.5,Activity,4.1
Annapurna Chaat Bhandar near Folk Dharamshala Heritage Craft Complex,Folk Dharamshala Heritage Craft Complex,2.4,Food & Dining,3.8
Bustling Corner near Folk Dharamshala Heritage Craft Complex,Folk Dharamshala Heritage Craft Complex,3.3,Shopping,4.5
Heritage Walk near Folk Dharamshala Heritage Craft Complex,Folk Dharamshala Heritage Craft Complex,0.9,Activity,4.6
Desi Treats near Hidden Peak of Rishikesh,Hidden Peak of Rishikesh,2.1,Food & Dining,4.5
Central Cooperative near Hidden Peak of Rishikesh,Hidden Peak of Rishikesh,0.2,Shopping,4.3
Cable Car Station near Hidden Peak of Rishikesh,Hidden Peak of Rishikesh,1.2,Activity,4.4
Cafe Kitchen near Rishikesh Imperial Tomb,Rishikesh Imperial Tomb,0.3,Food & Dining,3.6
Central Cooperative near Rishikesh Imperial Tomb,Rishikesh Imperial Tomb,2.7,Shopping,4.2
Transit Corner near Rishikesh Imperial Tomb,Rishikesh Imperial Tomb,1.2,Transit,4.4
The Spicy Treats near Divine Rishikesh Gurudwara,Divine Rishikesh Gurudwara,0.6,Food & Dining,4.4
Bustling Arcade near Divine Rishikesh Gurudwara,Divine Rishikesh Gurudwara,1.5,Shopping,4.1
Local Market Corner near Divine Rishikesh Gurudwara,Divine Rishikesh Gurudwara,1.4,Local Market,4.9
Street Dhaba near Rogue Camping Ridge of Rishikesh,Rogue Camping Ridge of Rishikesh,1.6,Food & Dining,3.9
Local Emporium near Rogue Camping Ridge of Rishikesh,Rogue Camping Ridge of Rishikesh,1.4,Shopping,3.8
Local Market Corner near Rogue Camping Ridge of Rishikesh,Rogue Camping Ridge of Rishikesh,0.6,Local Market,3.5
Annapurna Diner near Rishikesh Folk Amphitheatre,Rishikesh Folk Amphitheatre,0.5,Food & Dining,4.6
Ethnic Corner near Rishikesh Folk Amphitheatre,Rishikesh Folk Amphitheatre,1.1,Shopping,4.5
Walkway Park near Rishikesh Folk Amphitheatre,Rishikesh Folk Amphitheatre,1.8,Activity,3.9
Annapurna Treats near Traditional Rishikesh Spices Corner,Traditional Rishikesh Spices Corner,1.2,Food & Dining,3.9
Traditional Corner near Traditional Rishikesh Spices Corner,Traditional Rishikesh Spices Corner,1.6,Shopping,3.7
Local Market Corner near Traditional Rishikesh Spices Corner,Traditional Rishikesh Spices Corner,2.0,Local Market,3.7
Royal Cafe near Authentic Sweet Alley of Rishikesh,Authentic Sweet Alley of Rishikesh,0.3,Food & Dining,4.4
Handicrafts Hub near Authentic Sweet Alley of Rishikesh,Authentic Sweet Alley of Rishikesh,1.2,Shopping,3.6
Walkway Park near Authentic Sweet Alley of Rishikesh,Authentic Sweet Alley of Rishikesh,3.4,Activity,4.1
Desi Cafe near Rishikesh Tech Amusement Park,Rishikesh Tech Amusement Park,1.3,Food & Dining,3.8
Local Corner near Rishikesh Tech Amusement Park,Rishikesh Tech Amusement Park,1.3,Shopping,4.2
Boating Lake near Rishikesh Tech Amusement Park,Rishikesh Tech Amusement Park,4.5,Viewpoint,4.2
Laziz Spot near Whispering Rishikesh Gardens,Whispering Rishikesh Gardens,1.8,Food & Dining,4.8
Handicrafts Flea Market near Whispering Rishikesh Gardens,Whispering Rishikesh Gardens,2.6,Shopping,4.2
Transit Corner near Whispering Rishikesh Gardens,Whispering Rishikesh Gardens,0.5,Transit,4.2
The Spicy Kitchen near Royal Palace of Rishikesh,Royal Palace of Rishikesh,1.8,Food & Dining,4.2
Souvenir Hub near Royal Palace of Rishikesh,Royal Palace of Rishikesh,3.4,Shopping,3.9
Hiking Point near Royal Palace of Rishikesh,Royal Palace of Rishikesh,0.6,Activity,3.9
Annapurna Diner near Rishikesh Divine Gurudwara,Rishikesh Divine Gurudwara,2.4,Food & Dining,4.4
Local Emporium near Rishikesh Divine Gurudwara,Rishikesh Divine Gurudwara,2.6,Shopping,4.0
Sunset Deck near Rishikesh Divine Gurudwara,Rishikesh Divine Gurudwara,1.0,Viewpoint,3.7
Chai Villa Kitchen near Rogue Rishikesh Paragliding Launch,Rogue Rishikesh Paragliding Launch,2.2,Food & Dining,4.7
Central Flea Market near Rogue Rishikesh Paragliding Launch,Rogue Rishikesh Paragliding Launch,1.2,Shopping,4.1
Local Market Corner near Rogue Rishikesh Paragliding Launch,Rogue Rishikesh Paragliding Launch,4.7,Local Market,4.4
Royal Point near Artistic Cultural Theatre of Rishikesh,Artistic Cultural Theatre of Rishikesh,0.5,Food & Dining,3.9
Bustling Hub near Artistic Cultural Theatre of Rishikesh,Artistic Cultural Theatre of Rishikesh,2.3,Shopping,4.5
Photography Spot near Artistic Cultural Theatre of Rishikesh,Artistic Cultural Theatre of Rishikesh,3.8,Viewpoint,3.6
Chai Villa Bakery near Rishikesh Bustling Flea Market,Rishikesh Bustling Flea Market,0.7,Food & Dining,4.6
Ethnic Corner near Rishikesh Bustling Flea Market,Rishikesh Bustling Flea Market,1.4,Shopping,3.9
Transit Corner near Rishikesh Bustling Flea Market,Rishikesh Bustling Flea Market,0.9,Transit,3.6
Cafe Point near Culinary Rishikesh Food Street,Culinary Rishikesh Food Street,1.3,Food & Dining,4.0
Traditional Arcade near Culinary Rishikesh Food Street,Culinary Rishikesh Food Street,2.0,Shopping,3.9
Hiking Point near Culinary Rishikesh Food Street,Culinary Rishikesh Food Street,1.3,Activity,3.9
Street Spot near Infinity Botanical Conservatory of Rishikesh,Infinity Botanical Conservatory of Rishikesh,0.8,Food & Dining,4.4
Traditional Arcade near Infinity Botanical Conservatory of Rishikesh,Infinity Botanical Conservatory of Rishikesh,0.9,Shopping,4.3
Boating Lake near Infinity Botanical Conservatory of Rishikesh,Infinity Botanical Conservatory of Rishikesh,3.8,Activity,4.7
The Spicy Point near Rishikesh Golden Meadow,Rishikesh Golden Meadow,2.2,Food & Dining,4.6
Central Emporium near Rishikesh Golden Meadow,Rishikesh Golden Meadow,2.6,Shopping,4.7
Boating Lake near Rishikesh Golden Meadow,Rishikesh Golden Meadow,4.2,Viewpoint,4.7
The Spicy Cafe near Historic Rishikesh Heritage Centre,Historic Rishikesh Heritage Centre,1.1,Food & Dining,4.0
Ethnic Hub near Historic Rishikesh Heritage Centre,Historic Rishikesh Heritage Centre,0.9,Shopping,4.4
Adventure Cliff near Historic Rishikesh Heritage Centre,Historic Rishikesh Heritage Centre,4.0,Activity,4.5
Gourmet Point near Divine Gurudwara of Rishikesh,Divine Gurudwara of Rishikesh,0.6,Food & Dining,3.6
Artisans Arcade near Divine Gurudwara of Rishikesh,Divine Gurudwara of Rishikesh,3.3,Shopping,3.7
Hiking Point near Divine Gurudwara of Rishikesh,Divine Gurudwara of Rishikesh,4.9,Activity,4.9
Chai Villa Corner near Rishikesh Rogue Climbing Wall,Rishikesh Rogue Climbing Wall,1.4,Food & Dining,4.4
Bustling Market near Rishikesh Rogue Climbing Wall,Rishikesh Rogue Climbing Wall,3.2,Shopping,4.0
Local Market Corner near Rishikesh Rogue Climbing Wall,Rishikesh Rogue Climbing Wall,0.5,Local Market,4.7
Gourmet Dhaba near Indigenous Rishikesh Traditional Bazaar,Indigenous Rishikesh Traditional Bazaar,0.2,Food & Dining,4.8
Artisans Cooperative near Indigenous Rishikesh Traditional Bazaar,Indigenous Rishikesh Traditional Bazaar,1.3,Shopping,4.7
Heritage Walk near Indigenous Rishikesh Traditional Bazaar,Indigenous Rishikesh Traditional Bazaar,4.2,Activity,4.4
